Id,District number,District Name,Neighborhood Number,Neighborhood Name,Street,Weekday,Weekday Number,Year,Month Number,Month,Day,Hour,Part of the Day,Cause,Cause Number,Deaths,Mild Injured,Seriously Injured,Victims,Vehicles Involved,Latitude,Longitude,Mult_Vic,Mult_Cars,Corner,Serious
2017S001257    ,10,Sant Martí,73,la Verneda i la Pau,RBLA GUIPÚSCOA / RBLA PRIM,Wednesday,3,2017,2,February,15,1,Night,Not pedestrian at fault,2,0,1,0,1,2,41.42514829324896,2.2088179579457288,No,Yes,Yes,No
2017S010414    ,10,Sant Martí,70,el Besòs i el Maresme,EDUARD MARISTANY,Saturday,6,2017,12,December,16,18,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.41351376135773,2.2211701451115906,No,Yes,No,No
2017S003078    ,10,Sant Martí,70,el Besòs i el Maresme,PRIM,Monday,1,2017,4,April,3,19,Afternoon,Not pedestrian at fault,2,0,0,0,0,1,41.41546800001061,2.2180590508650124,No,No,No,No
2017S010707    ,10,Sant Martí,72,Sant Martí de Provençals,AGRICULTURA / GUIPÚSCOA,Wednesday,3,2017,12,December,27,16,Afternoon,Not pedestrian at fault,2,0,2,0,2,2,41.42059868802234,2.2018507992108387,Yes,Yes,Yes,No
2017S009012    ,10,Sant Martí,72,Sant Martí de Provençals,CANTÀBRIA / CONCILI DE TRENTO,Thursday,2,2017,10,October,31,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.42063822727353,2.2034749068219344,No,Yes,Yes,No
2017S005997    ,10,Sant Martí,73,la Verneda i la Pau,GUIPÚSCOA,Monday,1,2017,7,July,10,15,Afternoon,Not pedestrian at fault,2,0,2,0,2,1,41.421498173156465,2.202955091217446,Yes,No,No,No
2017S005176    ,10,Sant Martí,73,la Verneda i la Pau,CA N`OLIVA / SANTANDER,Thursday,2,2017,6,June,13,14,Afternoon,Not pedestrian at fault,2,0,1,0,1,3,41.428251410274164,2.2024976594965135,No,Yes,Yes,No
2017S000123    ,10,Sant Martí,73,la Verneda i la Pau,SANTANDER,Tuesday,4,2017,1,January,5,17,Afternoon,Not pedestrian at fault,2,0,2,0,2,2,41.42854092660402,2.2028769758002626,Yes,Yes,No,No
2017S005072    ,10,Sant Martí,73,la Verneda i la Pau,SANTANDER,Friday,5,2017,6,June,9,17,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.42826160641473,2.2016560614740843,No,Yes,No,No
2017S007144    ,10,Sant Martí,73,la Verneda i la Pau,GUIPÚSCOA,Wednesday,3,2017,8,August,23,20,Afternoon,Not pedestrian at fault,2,0,1,0,1,1,41.42209265996972,2.203760734098914,No,No,No,No
2017S000944    ,10,Sant Martí,72,Sant Martí de Provençals,CANTÀBRIA,Friday,5,2017,2,February,3,20,Afternoon,Not crossing in the zebra lines,5,0,1,0,1,1,41.41948941204094,2.204268557741521,No,No,No,No
